組成品號,版本,製程,材料(半成品),版本,用量,係數,lastUpdatedDate,順序
BLLN0102G-HBS2,D,PDDC,,,1,1,2018/3/1 12:00:00,7
BLLN0102G-HBS2,D,PDPA,PYE022    M1032,,1,1,2018/3/1 12:00:00,8
BLLN0102G-HBS2,D,PDAL,,,1,1,2018/3/1 12:00:00,9
BLLN0102G-HBS2,D,PDPW,PKPGC,,1,1,2018/3/1 12:00:00,10
BLLN0102G-HBS2,D,PDTH,,,1,1,2018/3/1 12:00:00,11
BLLN0102G-HBS2,D,PDIS,,,1,1,2018/3/1 12:00:00,12
BLLN0102G-HBS2,D,BXBB,,,1,1,2018/3/1 12:00:00,13
BLLN0102G-HBS2,D,PDRG,,,1,1,2018/3/1 12:00:00,14
BLLN0102G-HBS2,D,BXBN,,,1,1,2018/3/1 12:00:00,15
BLLN0102G-HBS2,D,BXBM,,,1,1,2018/3/1 12:00:00,16
BLLN0102G-HBS2,D,PDAN,,,1,1,2018/3/1 12:00:00,17
BLLN0102G-HBS2,D,PDH1,,,1,1,2018/3/1 12:00:00,18
BLLN0102G-HBS2,D,BTA1,,,1,1,2018/3/1 12:00:00,19
BLLN0102G-HBS2,D,BXAL,,,1,1,2018/3/1 12:00:00,20
BLLN0102G-HBS2,D,BXBH,,,1,1,2018/3/1 12:00:00,21
BLLN0102G-HBS2,D,PDGC,,,1,1,2018/3/1 12:00:00,22
BLLN0102G-HBS2,D,PDGL,,,1,1,2018/3/1 12:00:00,23
BLLN0102G-HBS2,D,BXC9,,,1,1,2018/3/1 12:00:00,24
BLLN0102G-HBS2,D,BXAE-A,,,1,1,2018/3/1 12:00:00,25
BLLN0102G-HBS2,D,BQA1,,,1,1,2018/3/1 12:00:00,26
BLLN0102G-HBS2,D,BXBX,,,1,1,2018/3/1 12:00:00,27
BLLN0102G-HBS2,D,BXBY,,,1,1,2018/3/1 12:00:00,28
BLLN0102G-HBS2,D,BXC1,,,1,1,2018/3/1 12:00:00,29
BLLN0102G-HBS2,D,BXC2,,,1,1,2018/3/1 12:00:00,30
BLLN0102G-HBS2,D,BXA8,,,1,1,2018/3/1 12:00:00,31
BLLN0102G-HBS2,D,PDHD,,,1,1,2018/3/1 12:00:00,32
BLLN0102G-HBS2,D,BXCC,,,1,1,2018/3/1 12:00:00,33
BLLN0102G-HBS2,D,PDHF,,,1,1,2018/3/1 12:00:00,34
