作業方法,製程,製程名稱,lastUpdatedDate,順序
PDMA,PDMA,PDMA,2018/3/1 12:00:00,13
PDGA,PDGA,PDGA,2018/3/1 12:00:00,18
PDPX,PDPX,PDPX,2018/3/1 12:00:00,19
PDIT,PDIT,PDIT,2018/3/1 12:00:00,20
C0BA,C0BA,C0BA,2018/3/1 12:00:00,1
C050,C050,C050,2018/3/1 12:00:00,2
C060,C060,C060,2018/3/1 12:00:00,3
C071,C071,C071,2018/3/1 12:00:00,4
C068,C068,C068,2018/3/1 12:00:00,5
C0IT,C0IT,C0IT,2018/3/1 12:00:00,6
C072,C072,C072,2018/3/1 12:00:00,7
C0B9,C0B9,C0B9,2018/3/1 12:00:00,8
C073,C073,C073,2018/3/1 12:00:00,9
C09C,C09C,C09C,2018/3/1 12:00:00,10
C08G,C08G,C08G,2018/3/1 12:00:00,11
C074,C074,C074,2018/3/1 12:00:00,12
C004,C004,C004,2018/3/1 12:00:00,13
C0FA,C0FA,C0FA,2018/3/1 12:00:00,14
C068,C068,C068,2018/3/1 12:00:00,1
C0IT,C0IT,C0IT,2018/3/1 12:00:00,2
C070,C070,C070,2018/3/1 12:00:00,3
C0BC,C0BC,C0BC,2018/3/1 12:00:00,4
C091,C091,C091,2018/3/1 12:00:00,5
C071,C071,C071,2018/3/1 12:00:00,6
C0B0,C0B0,C0B0,2018/3/1 12:00:00,7
C020,C020,C020,2018/3/1 12:00:00,8
C072,C072,C072,2018/3/1 12:00:00,9
C0C0,C0C0,C0C0,2018/3/1 12:00:00,10
C073,C073,C073,2018/3/1 12:00:00,11
C0F0,C0F0,C0F0,2018/3/1 12:00:00,12
C0GX,C0GX,C0GX,2018/3/1 12:00:00,13
C02G,C02G,C02G,2018/3/1 12:00:00,14
C022,C022,C022,2018/3/1 12:00:00,15
C074,C074,C074,2018/3/1 12:00:00,16
C09C,C09C,C09C,2018/3/1 12:00:00,17
C075,C075,C075,2018/3/1 12:00:00,19
C004,C004,C004,2018/3/1 12:00:00,20
C0FA,C0FA,C0FA,2018/3/1 12:00:00,21
C010,C010,C010,2018/3/1 12:00:00,1
C030,C030,C030,2018/3/1 12:00:00,2
C040,C040,C040,2018/3/1 12:00:00,3
C050,C050,C050,2018/3/1 12:00:00,4
C060,C060,C060,2018/3/1 12:00:00,5
C070,C070,C070,2018/3/1 12:00:00,6
C031,C031,C031,2018/3/1 12:00:00,7
C041,C041,C041,2018/3/1 12:00:00,8
C051,C051,C051,2018/3/1 12:00:00,9
C054,C054,C054,2018/3/1 12:00:00,10
C061,C061,C061,2018/3/1 12:00:00,11
C071,C071,C071,2018/3/1 12:00:00,12
C0F0,C0F0,C0F0,2018/3/1 12:00:00,13
C0B0,C0B0,C0B0,2018/3/1 12:00:00,14
C02G,C02G,C02G,2018/3/1 12:00:00,15
C020,C020,C020,2018/3/1 12:00:00,16
C068,C068,C068,2018/3/1 12:00:00,17
C0C0,C0C0,C0C0,2018/3/1 12:00:00,18
C0F1,C0F1,C0F1,2018/3/1 12:00:00,19
